Time,X,Y,Z,Norm
0.015,-9.32,21.10,-2.57,23.21
0.023,-8.54,20.91,-2.27,22.70
0.047,-8.93,21.20,-2.57,23.15
0.062,-9.13,21.59,-2.47,23.57
0.078,-8.93,21.20,-2.47,23.14
0.098,-9.13,21.30,-2.96,23.36
0.118,-8.93,21.20,-1.98,23.09
0.150,-8.93,21.10,-2.57,23.06
0.161,-9.23,21.20,-2.17,23.22
0.179,-9.23,21.30,-2.27,23.32
0.199,-9.42,21.20,-2.47,23.33
0.219,-9.03,21.10,-2.47,23.09
0.240,-8.83,21.20,-2.47,23.10
0.260,-9.03,21.01,-2.57,23.01
0.282,-9.32,21.10,-2.96,23.26
0.299,-9.13,21.40,-2.17,23.36
0.320,-8.83,21.20,-2.37,23.09
0.341,-9.13,21.01,-2.17,23.01
0.359,-9.03,21.20,-2.37,23.17
0.380,-8.93,21.01,-2.27,22.94
0.401,-8.74,21.20,-2.66,23.08
0.420,-9.32,21.10,-2.57,23.21
0.442,-9.03,21.20,-2.66,23.20
0.461,-8.93,21.10,-2.27,23.03
0.480,-9.32,21.40,-2.37,23.46
0.501,-9.03,21.49,-2.47,23.44
0.522,-9.13,21.49,-2.57,23.49
0.542,-9.03,20.91,-2.27,22.89
0.562,-9.23,21.30,-2.47,23.34
0.582,-9.13,20.91,-2.27,22.93
0.602,-9.03,20.81,-2.27,22.80
0.625,-9.13,21.30,-2.86,23.35
0.644,-8.83,21.20,-2.47,23.10
0.662,-8.93,21.30,-2.17,23.20
0.683,-8.83,21.40,-1.98,23.23
0.703,-9.03,21.20,-2.27,23.16
0.723,-9.03,21.30,-2.37,23.25
0.743,-9.03,21.10,-2.57,23.10
0.763,-9.03,21.30,-2.37,23.25
0.784,-9.13,21.20,-2.76,23.25
0.804,-8.93,21.40,-1.98,23.27
0.825,-8.74,21.01,-2.66,22.91
0.844,-8.74,21.30,-2.76,23.19
0.868,-8.83,21.01,-1.88,22.87
0.886,-9.23,21.49,-2.66,23.54
0.904,-9.13,21.10,-2.17,23.09
0.923,-9.32,21.10,-2.66,23.22
0.950,-8.83,21.01,-2.57,22.93
0.970,-9.03,21.40,-2.47,23.35
0.984,-9.03,21.10,-2.27,23.07
1.004,-8.83,21.40,-2.57,23.29
1.025,-9.23,21.30,-2.57,23.35
1.046,-9.42,21.30,-2.17,23.39
