Time,X,Y,Z,Norm
2.906,-6.98,20.71,-5.10,22.44
2.927,-6.98,20.81,-4.81,22.47
2.948,-7.27,20.42,-5.49,22.36
2.969,-7.08,20.52,-5.40,22.36
2.990,-7.27,20.81,-5.20,22.65
3.008,-7.47,20.91,-5.40,22.85
3.028,-7.37,20.32,-5.10,22.21
3.047,-7.27,20.42,-5.69,22.41
3.068,-7.47,20.61,-5.30,22.56
3.088,-7.47,20.42,-5.30,22.38
3.109,-7.27,20.61,-5.10,22.45
3.129,-7.27,20.42,-5.49,22.36
3.150,-7.08,20.71,-5.10,22.48
3.170,-7.27,20.71,-5.40,22.61
3.190,-7.08,20.61,-5.30,22.43
3.212,-7.47,20.32,-5.49,22.34
3.233,-7.47,21.20,-5.69,23.19
3.249,-7.47,20.81,-5.89,22.88
3.271,-7.37,20.61,-5.10,22.48
3.291,-6.98,20.71,-5.40,22.51
3.312,-7.47,20.61,-5.79,22.68
3.333,-7.08,20.71,-5.59,22.59
3.350,-6.88,20.42,-5.40,22.21
3.370,-7.08,20.52,-5.30,22.34
3.391,-7.37,20.52,-5.40,22.46
3.412,-7.27,20.71,-5.89,22.73
3.434,-7.66,20.81,-5.10,22.76
3.460,-7.17,20.91,-5.20,22.71
3.472,-6.88,20.81,-5.98,22.72
3.491,-7.47,20.22,-5.49,22.25
3.512,-7.57,20.61,-5.01,22.52
3.531,-7.37,20.42,-5.69,22.44
3.553,-7.47,20.61,-5.69,22.65
3.572,-7.27,20.32,-5.49,22.27
3.595,-7.08,20.71,-5.69,22.62
3.618,-6.49,20.61,-5.30,22.25
3.632,-7.27,20.71,-5.01,22.52
3.653,-7.17,20.61,-5.69,22.56
3.672,-7.37,20.52,-5.89,22.58
3.693,-7.08,20.61,-4.81,22.32
3.713,-7.37,20.22,-5.30,22.17
3.733,-7.08,20.52,-5.79,22.46
3.754,-6.98,20.61,-5.40,22.42
3.773,-7.27,20.52,-5.40,22.43
3.793,-7.27,20.61,-5.10,22.45
3.813,-7.17,20.52,-5.10,22.33
3.834,-7.17,21.01,-5.20,22.80
3.854,-7.37,21.10,-5.49,23.02
3.880,-7.27,20.71,-5.20,22.56
3.901,-7.47,20.81,-5.10,22.69
3.914,-6.98,20.42,-5.89,22.37
3.934,-7.17,20.71,-5.40,22.57
3.954,-6.88,20.52,-4.91,22.19
3.976,-7.08,20.71,-5.49,22.57
3.996,-7.27,20.91,-5.49,22.81
4.015,-7.27,20.71,-5.40,22.61
4.034,-6.98,20.81,-5.98,22.75
4.055,-7.37,20.42,-5.30,22.35
4.076,-6.78,20.71,-5.40,22.45
4.096,-7.27,20.71,-5.69,22.68
4.120,-7.17,20.81,-4.91,22.55
4.136,-6.98,20.81,-5.40,22.60
4.156,-7.66,20.61,-5.40,22.65
4.177,-7.27,20.91,-5.20,22.74
4.196,-7.17,20.81,-5.98,22.81
4.216,-7.57,20.91,-5.30,22.86
4.237,-7.37,20.61,-5.40,22.55
4.256,-7.47,20.52,-5.49,22.51
4.276,-7.37,21.01,-5.59,22.95
4.296,-7.57,20.61,-5.59,22.66
4.317,-7.27,20.81,-5.59,22.74
4.340,-7.27,20.52,-5.10,22.36
4.358,-6.98,20.52,-5.10,22.26
4.380,-7.17,20.42,-5.20,22.26
4.401,-6.98,20.81,-5.49,22.63
4.417,-7.37,20.71,-5.59,22.68
4.438,-7.27,20.52,-5.01,22.34
4.458,-7.08,20.71,-5.49,22.57
4.481,-7.17,20.52,-5.40,22.40
4.501,-7.17,20.61,-5.40,22.48
4.517,-7.08,20.61,-5.20,22.41
4.539,-7.27,20.61,-5.01,22.43
4.559,-7.27,20.61,-5.20,22.47
4.579,-7.27,20.42,-5.30,22.31
4.599,-7.27,20.42,-5.79,22.44
4.620,-7.17,20.81,-5.40,22.66
4.641,-7.27,20.81,-5.49,22.72
4.659,-7.37,20.91,-5.69,22.89
4.680,-6.98,20.71,-5.69,22.59
4.700,-7.37,20.61,-5.59,22.60
4.721,-7.08,20.42,-5.69,22.35
4.748,-7.57,20.42,-5.49,22.46
4.770,-7.57,20.42,-5.40,22.43
4.780,-7.47,20.71,-5.30,22.65
4.800,-7.37,20.42,-5.49,22.39
4.821,-7.76,20.61,-5.49,22.70
4.841,-7.37,20.52,-5.10,22.39
4.861,-6.98,20.71,-5.49,22.54
4.882,-7.76,20.61,-5.49,22.70
4.902,-6.88,20.52,-5.69,22.38
4.921,-7.37,20.52,-5.30,22.44
4.942,-7.47,20.81,-5.20,22.71
4.962,-7.57,20.91,-5.20,22.83
4.982,-7.27,20.81,-5.49,22.72
5.002,-7.27,20.42,-5.20,22.29
5.022,-7.76,20.91,-5.10,22.88
5.042,-7.27,20.61,-5.30,22.49
5.063,-7.17,20.71,-5.59,22.62
5.083,-6.98,20.71,-5.49,22.54
5.103,-7.27,20.81,-5.30,22.67
5.124,-7.37,20.52,-5.49,22.48
5.142,-7.37,20.71,-5.20,22.59
5.163,-7.47,20.61,-5.59,22.63
5.183,-7.08,20.42,-5.98,22.42
5.204,-7.17,20.52,-5.40,22.40
5.224,-7.17,20.52,-5.79,22.49
5.243,-7.27,20.71,-5.49,22.63
5.264,-7.47,20.71,-5.20,22.62
5.284,-7.08,20.52,-5.49,22.39
5.304,-7.27,20.81,-5.49,22.72
5.325,-6.88,20.61,-5.40,22.39
5.345,-7.08,20.42,-5.40,22.27
5.367,-7.57,20.81,-5.20,22.75
5.390,-6.98,20.71,-5.49,22.54
5.404,-7.37,20.61,-5.69,22.62
5.425,-7.47,20.61,-5.79,22.68
5.446,-7.47,20.91,-5.59,22.89
5.465,-7.37,20.71,-5.30,22.61
5.488,-7.57,20.61,-5.59,22.66
5.506,-7.08,20.71,-5.59,22.59
5.525,-7.57,20.32,-5.30,22.32
5.546,-7.08,21.01,-5.20,22.77
5.566,-7.17,20.61,-5.49,22.51
5.586,-7.37,20.52,-5.30,22.44
5.606,-7.17,20.81,-5.01,22.57
5.626,-7.37,21.01,-5.49,22.93
5.645,-7.17,20.61,-5.49,22.51
5.667,-7.37,20.52,-5.69,22.53
5.687,-7.37,20.71,-5.40,22.64
5.707,-7.17,20.61,-5.49,22.51
5.727,-7.17,20.52,-5.40,22.40
5.746,-7.27,21.01,-5.49,22.90
5.767,-7.76,20.71,-5.20,22.72
5.787,-6.98,20.81,-5.10,22.53
5.808,-7.27,20.71,-5.30,22.58
5.834,-7.47,20.91,-5.40,22.85
5.857,-7.37,20.32,-5.40,22.28
5.867,-7.17,20.71,-5.49,22.60
5.888,-7.57,20.71,-5.30,22.68
5.908,-7.17,20.52,-5.01,22.30
5.929,-7.27,20.32,-5.40,22.25
5.949,-7.66,20.61,-5.20,22.60
5.969,-7.47,20.71,-5.40,22.67
5.991,-7.17,20.32,-5.30,22.19
6.010,-7.08,20.52,-5.49,22.39
6.029,-7.08,20.22,-4.91,21.98
6.050,-7.47,20.13,-5.30,22.11
6.070,-7.47,20.52,-5.59,22.54
6.089,-7.27,20.32,-5.30,22.22
6.110,-7.47,20.71,-5.01,22.58
6.129,-7.17,21.01,-5.49,22.87
6.149,-6.98,20.81,-5.49,22.63
6.170,-7.47,21.01,-5.40,22.94
6.190,-7.27,20.81,-5.40,22.70
6.211,-7.17,20.91,-5.49,22.78
6.231,-6.88,20.13,-5.79,22.04
6.252,-7.27,20.52,-5.69,22.50
6.273,-7.27,20.61,-5.20,22.47
6.291,-7.27,20.42,-5.49,22.36
6.311,-6.98,20.91,-5.49,22.72
6.332,-7.37,20.32,-5.40,22.28
6.353,-7.17,20.52,-5.49,22.42
6.376,-7.47,20.71,-5.30,22.65
6.392,-7.27,20.91,-5.40,22.78
6.413,-7.17,20.81,-5.59,22.71
6.432,-7.27,20.81,-5.40,22.70
6.453,-7.17,20.61,-5.40,22.48
6.474,-7.08,20.81,-5.30,22.61
6.492,-7.37,21.10,-4.91,22.89
6.512,-6.98,20.81,-5.20,22.56
6.533,-7.08,20.81,-5.69,22.70
6.553,-7.37,20.42,-5.98,22.52
6.573,-7.08,20.52,-5.20,22.32
6.593,-6.98,20.91,-5.30,22.67
6.613,-7.08,20.71,-5.40,22.54
6.633,-7.37,20.71,-5.69,22.71
6.654,-7.17,20.91,-5.20,22.71
6.673,-7.57,20.71,-5.20,22.66
6.695,-7.66,20.71,-5.79,22.83
6.714,-7.08,20.71,-5.49,22.57
6.737,-7.57,20.91,-5.10,22.81
6.760,-7.66,20.61,-5.40,22.65
6.774,-7.37,21.10,-5.40,23.00
6.794,-7.17,21.01,-5.89,22.96
6.815,-7.27,20.81,-5.40,22.70
6.835,-7.17,20.52,-5.30,22.37
6.855,-7.57,20.32,-5.40,22.35
6.877,-7.27,20.61,-5.59,22.56
6.896,-7.17,20.71,-5.40,22.57
6.915,-7.27,20.52,-5.49,22.45
6.936,-7.08,20.03,-5.49,21.94
6.955,-7.37,20.61,-5.20,22.50
6.976,-7.47,20.13,-5.40,22.14
