Time,X,Y,Z,Norm
3.030,4.73,-11.04,14.22,18.61
3.050,4.54,-11.13,14.52,18.85
3.072,4.44,-10.84,14.71,18.81
3.090,4.44,-11.33,15.00,19.32
3.112,4.64,-11.33,14.22,18.77
3.131,4.44,-11.23,14.13,18.59
3.151,4.54,-11.04,14.71,18.94
3.173,4.25,-10.94,14.71,18.82
3.192,5.03,-11.13,15.10,19.42
3.212,4.93,-11.04,14.61,18.96
3.233,4.64,-11.43,14.81,19.27
3.253,4.83,-11.04,14.32,18.71
3.272,4.54,-11.33,14.32,18.82
3.292,4.93,-10.94,14.32,18.68
3.313,4.73,-11.62,14.42,19.11
3.333,4.83,-11.62,14.71,19.36
3.353,4.44,-11.43,14.61,19.08
3.372,4.44,-11.43,14.61,19.08
3.393,4.64,-11.33,14.91,19.29
3.413,4.83,-11.62,14.71,19.36
3.433,4.44,-11.43,14.81,19.23
3.473,4.25,-11.04,15.00,19.10
3.479,4.73,-11.43,14.71,19.22
3.496,4.93,-10.94,14.22,18.61
3.514,4.83,-10.84,14.61,18.83
3.534,5.13,-10.94,14.42,18.81
3.558,4.15,-11.23,14.52,18.82
3.574,4.44,-10.84,14.52,18.65
3.594,4.64,-11.13,14.32,18.72
3.614,4.64,-11.52,14.52,19.11
3.635,4.54,-10.94,14.81,18.96
3.655,4.83,-10.55,14.52,18.58
3.676,4.83,-10.94,14.81,19.03
3.696,4.73,-10.74,15.10,19.13
3.715,4.44,-10.94,14.61,18.79
3.735,4.44,-10.94,14.42,18.64
3.756,4.54,-10.65,14.22,18.34
3.775,4.93,-10.74,14.42,18.64
3.795,4.44,-10.94,14.71,18.86
3.816,4.73,-11.04,14.71,18.99
3.835,4.73,-11.04,14.91,19.14
3.856,4.54,-10.84,14.22,18.45
3.876,4.73,-10.94,14.81,19.01
3.897,5.22,-11.23,14.32,18.93
3.917,4.73,-11.04,14.42,18.76
3.939,4.54,-11.13,15.00,19.23
3.957,5.03,-11.04,14.71,19.07
3.977,4.93,-10.94,14.71,18.98
3.999,4.54,-10.84,14.42,18.60
4.017,4.64,-11.04,14.91,19.12
4.038,4.83,-10.94,14.81,19.03
4.057,5.03,-11.04,14.61,18.99
4.077,4.64,-10.84,14.42,18.63
4.100,5.03,-10.94,14.71,19.01
4.118,4.44,-11.04,14.32,18.62
4.139,4.64,-11.04,14.61,18.89
4.159,4.44,-11.23,14.32,18.73
4.181,4.34,-11.04,14.22,18.52
4.201,4.34,-10.94,14.61,18.76
4.221,4.73,-11.04,14.91,19.14
4.238,4.64,-11.04,14.52,18.82
4.259,4.25,-11.23,14.61,18.91
4.286,4.64,-11.04,14.81,19.04
4.300,4.93,-10.84,14.22,18.55
4.319,4.44,-10.94,14.42,18.64
4.339,4.25,-10.65,14.61,18.57
4.359,4.93,-10.74,14.32,18.57
4.384,4.25,-10.65,15.00,18.88
4.400,4.15,-11.04,14.61,18.78
