Time,X,Y,Z,Norm
3.193,15.77,14.55,12.07,24.62
3.214,15.97,14.06,11.98,24.41
3.232,15.77,14.26,11.59,24.21
3.253,15.77,14.45,12.07,24.56
3.273,15.57,14.06,11.78,24.06
3.293,15.67,14.26,12.07,24.39
3.315,15.97,14.26,12.07,24.57
3.334,16.06,14.06,11.98,24.48
3.354,15.87,13.96,11.88,24.25
3.374,15.87,14.35,11.88,24.47
3.394,15.87,14.06,11.98,24.35
3.414,15.57,14.26,11.98,24.27
3.434,15.97,13.96,11.68,24.22
3.455,15.87,14.45,11.59,24.39
3.476,15.97,13.77,12.17,24.34
3.496,15.97,14.06,12.07,24.46
3.516,15.97,13.96,11.98,24.36
3.536,15.97,14.26,11.88,24.48
3.556,15.87,14.26,12.07,24.51
3.576,15.97,13.96,11.98,24.36
3.596,15.57,14.26,11.98,24.27
3.617,15.77,13.96,11.78,24.13
3.639,15.97,14.45,11.88,24.59
3.656,15.67,14.55,11.59,24.32
3.676,15.67,14.55,11.68,24.37
3.696,15.77,14.45,12.27,24.66
3.716,15.57,14.35,12.17,24.43
3.736,16.16,14.35,11.88,24.66
3.757,15.77,14.26,11.39,24.12
3.776,15.57,14.65,12.07,24.55
3.800,15.87,14.16,12.07,24.45
3.817,15.97,14.35,11.88,24.54
3.837,15.97,14.16,11.68,24.33
3.857,15.77,14.45,11.39,24.23
3.877,15.67,14.74,11.68,24.49
3.900,15.97,14.45,12.17,24.74
3.917,15.48,14.84,12.07,24.61
3.938,15.87,14.74,12.27,24.89
3.958,15.77,14.45,12.17,24.61
3.979,15.57,14.55,11.68,24.31
4.002,15.67,14.74,11.59,24.44
4.021,15.87,14.65,11.49,24.46
4.039,15.77,14.65,11.68,24.49
4.059,16.16,14.35,12.27,24.85
4.078,15.28,14.84,12.37,24.63
4.099,15.87,14.84,11.78,24.72
4.123,15.77,14.65,11.49,24.40
4.139,15.48,14.74,11.59,24.31
4.159,15.97,14.74,12.07,24.86
4.179,15.48,14.84,12.07,24.61
4.201,16.16,15.04,11.78,25.02
4.220,15.57,14.94,11.68,24.54
4.240,15.28,14.65,12.17,24.42
4.265,15.48,14.55,11.98,24.39
4.280,15.67,14.65,11.49,24.33
4.300,15.77,14.84,11.68,24.61
4.320,15.87,14.74,11.68,24.61
4.340,15.87,14.65,12.07,24.74
4.361,15.57,14.74,11.68,24.42
4.382,15.67,14.65,11.59,24.38
4.408,15.77,14.35,11.88,24.41
4.422,15.48,14.65,11.88,24.40
4.441,15.38,14.45,11.68,24.12
4.461,15.67,14.74,12.17,24.72
4.482,15.87,14.55,11.68,24.49
4.507,15.67,14.45,11.78,24.36
4.522,15.87,14.55,11.88,24.59
4.541,15.57,14.74,11.98,24.56
4.562,15.87,14.35,12.07,24.57
4.585,15.97,14.55,12.17,24.79
4.603,15.97,14.74,11.88,24.77
4.623,15.97,14.65,12.17,24.85
4.642,15.67,14.55,11.98,24.51
4.662,15.67,14.55,12.17,24.61
4.683,15.87,14.74,12.07,24.80
4.703,15.57,14.94,11.98,24.68
4.724,15.87,14.74,11.59,24.56
4.743,15.67,14.65,11.98,24.57
4.763,15.77,14.55,12.07,24.62
4.784,15.57,14.55,11.49,24.21
4.804,15.87,14.55,11.39,24.36
4.824,15.67,14.74,11.78,24.53
4.845,15.57,14.65,11.98,24.51
4.868,15.87,14.45,12.07,24.63
4.885,15.67,14.55,11.98,24.51
4.905,15.57,14.84,11.68,24.48
4.925,16.16,14.55,11.78,24.73
4.945,15.77,14.45,11.88,24.47
4.966,15.87,14.55,12.27,24.78
4.986,15.87,14.35,11.98,24.52
5.009,15.77,14.84,11.68,24.61
5.026,15.77,14.35,11.78,24.36
5.045,15.87,14.74,11.68,24.61
5.065,15.67,14.65,11.68,24.43
5.086,15.38,14.55,11.98,24.32
5.106,15.48,14.74,11.68,24.36
5.126,15.77,14.65,11.78,24.54
5.146,15.77,14.35,12.07,24.51
5.166,15.97,14.55,11.98,24.70
5.186,16.06,14.55,11.88,24.71
5.206,15.87,14.74,11.98,24.75
5.228,15.87,14.55,11.98,24.64
5.248,15.77,14.55,12.17,24.67
5.268,15.77,14.35,11.98,24.46
5.287,16.16,14.55,11.78,24.73
5.307,15.77,14.74,11.78,24.59
5.327,15.77,14.35,12.37,24.65
5.347,15.77,14.84,11.78,24.65
5.367,15.87,14.84,12.27,24.95
5.387,15.67,14.94,12.07,24.79
5.409,15.67,15.04,11.98,24.80
5.429,15.57,14.94,11.78,24.59
5.448,15.97,14.35,12.66,24.92
5.468,15.67,14.65,11.68,24.43
5.488,15.87,14.94,11.68,24.73
5.509,15.77,14.74,11.98,24.69
5.529,15.67,14.06,11.78,24.13
5.549,15.77,14.55,11.68,24.43
5.569,15.67,14.45,12.07,24.50
5.590,15.77,14.65,12.07,24.68
5.609,15.38,14.45,12.37,24.46
5.630,15.67,14.35,11.98,24.39
5.651,15.67,14.65,11.68,24.43
5.674,16.06,14.65,11.68,24.68
5.694,15.67,14.84,12.27,24.83
5.712,15.87,14.55,12.17,24.73
5.730,15.67,14.94,12.07,24.79
5.750,15.87,14.55,12.17,24.73
5.771,15.97,14.84,11.78,24.78
5.792,15.67,14.06,11.68,24.08
5.812,15.77,14.16,12.07,24.39
5.831,15.97,14.16,11.88,24.42
5.852,15.87,14.45,11.98,24.58
5.872,15.77,14.74,11.88,24.64
5.891,15.77,14.55,11.68,24.43
5.912,15.87,14.45,11.68,24.44
5.932,15.87,14.45,11.78,24.48
5.952,15.67,14.35,11.39,24.11
5.978,15.87,14.26,11.98,24.46
5.994,16.06,14.45,12.17,24.80
6.012,15.77,14.55,11.88,24.53
6.033,15.77,14.45,12.27,24.66
6.055,15.67,14.35,11.39,24.11
6.079,15.77,14.55,12.07,24.62
6.093,15.97,14.26,12.07,24.57
6.113,15.87,14.45,12.17,24.67
6.133,15.57,14.65,12.17,24.60
6.154,15.67,14.55,11.59,24.32
6.175,16.16,14.74,12.07,24.99
6.194,16.06,14.35,12.07,24.69
6.214,15.87,15.14,11.98,24.99
6.235,15.67,14.74,11.98,24.63
6.257,15.67,14.45,12.07,24.50
6.276,15.57,14.65,11.59,24.32
6.295,15.57,14.65,11.98,24.51
6.316,15.57,14.55,11.98,24.45
6.335,15.87,14.74,12.17,24.85
6.356,15.97,14.74,12.07,24.86
6.375,15.67,14.74,11.78,24.53
6.395,15.48,14.94,12.17,24.72
6.416,15.57,14.74,11.88,24.52
6.436,15.67,14.65,11.68,24.43
6.456,15.48,14.84,11.98,24.56
6.476,15.87,14.45,11.98,24.58
6.496,15.87,15.04,11.68,24.79
