Time,X,Y,Z
06.8549030, -0.1138358, 43.15274, -7.634577
06.8752000, -0.2226714, 43.41988, -7.836483
06.8951940, -0.01900469, 43.18789, -7.828109
06.9161170, -0.1089743, 43.14996, -7.829809
06.9365540, 0.01646453, 43.09931, -7.728268
06.9554250, 0.07096495, 43.22583, -7.826408
06.9754970, -0.1657393, 43.54501, -8.03224
06.9950770, 0.1609336, 43.26377, -7.824708
07.0154690, -0.1517348, 43.24271, -7.636802
07.0351970, 0.05209808, 43.53091, -8.026615
07.0564180, -0.0520422, 43.27509, -8.025566
07.0758600, -0.1517348, 43.24271, -7.636802
07.0957440, -0.1920646, 43.33408, -7.54141
07.1163010, -0.3413962, 43.17239, -7.249738
07.1364120, -0.1493041, 43.24132, -7.734418
07.1563910, -0.3363684, 43.6898, -7.843157
07.1764360, -0.1896339, 43.33269, -7.639027
07.1964430, 0.139637, 43.57025, -7.927299
07.2166540, -0.2251021, 43.42127, -7.738867
07.2369780, -0.2038055, 43.1148, -7.636277
07.2572890, -0.01900469, 43.18789, -7.828109
07.2769530, -0.07107435, 43.05998, -7.827584
07.2973270, 0.05209808, 43.53091, -8.026615
07.3173810, 0.3215931, 43.87096, -7.438567
07.3374000, -0.004833087, 43.40578, -7.830858
07.3575060, 0.2081427, 43.39447, -7.630001
07.3777110, 0.2626441, 43.52099, -7.728142
07.3978020, 0.08027409, 43.4465, -7.633926
07.4181130, 0.02593991, 43.84017, -7.933973
07.4381200, 0.4239641, 43.15553, -8.109707
07.4583120, 0.2036951, 43.17102, -8.017715
07.4780700, 0.2794932, 42.99107, -8.013267
07.4982280, 0.1730874, 43.25682, -8.312789
07.5183730, 0.06651731, 43.00239, -8.214124
07.5385220, -0.1517348, 43.24271, -7.636802
07.5586810, -0.07107435, 43.05998, -7.827584
07.5790840, 0.05452883, 43.52953, -8.124231
07.5991570, -0.08994122, 43.36506, -8.02779
07.6195580, -0.009694591, 43.40857, -7.635626
07.6397380, -0.2960387, 43.59844, -7.938549
07.6598850, -0.2601575, 43.28363, -8.421656
07.6800570, -0.2723112, 43.29058, -7.933575
07.7001940, -0.01657394, 43.1865, -7.925725
07.7203470, 0.3860651, 43.24551, -8.111932
07.7404520, -0.1468733, 43.23993, -7.832034
07.7605630, -0.06135134, 43.05442, -8.218049
07.7808040, -0.0471807, 43.27231, -8.220798
07.8008980, -0.07309219, 42.83514, -8.312915
07.8209900, -0.1847724, 43.32991, -7.834258
07.8407000, 0.09242785, 43.43955, -8.122006
07.8608470, 0.1185879, 43.1303, -8.214648
07.8813700, -0.1539984, 43.76429, -7.937373
07.9014250, -0.3837438, 43.03892, -7.639678
07.9214570, -0.09480272, 43.36784, -7.832558
07.9427800, 0.1751052, 43.48166, -7.827457
07.9625870, -0.05933446, 43.27926, -7.732718
07.9827900, -0.1420118, 43.23715, -8.027266
08.0027310, 0.08756635, 43.44233, -7.926774
08.0227950, 0.00488992, 43.40023, -8.221323
08.0427300, -0.0378706, 43.49298, -8.028315
08.0629390, 0.1467639, 43.04589, -7.821959
08.0830370, -0.0520422, 43.27509, -8.025566
08.1030380, 0.1444985, 43.56747, -8.122531
08.1230770, 0.05922505, 43.00656, -7.921275
08.1430890, -0.16817, 43.54641, -7.934624
08.1633210, 0.1682259, 43.2596, -8.117557
08.1835320, -0.0378706, 43.49298, -8.028315
08.2036090, 0.3029739, 43.42963, -7.823533
08.2236420, 0.281511, 43.21591, -7.527935
08.2437620, 0.3528604, 42.81251, -7.911201
08.2639980, -0.0735051, 43.06137, -7.729968
