Time,X,Y,Z,Norm
3.041,-13.14,14.84,3.19,20.08
3.060,-12.84,14.65,3.48,19.79
3.079,-13.23,14.84,3.97,20.28
3.099,-12.65,14.84,3.68,19.84
3.119,-12.84,14.84,3.87,20.01
3.139,-13.14,14.94,3.87,20.27
3.160,-13.04,14.94,4.07,20.24
3.179,-12.84,14.84,3.77,19.99
3.200,-12.65,14.94,3.48,19.88
3.221,-13.14,15.04,3.87,20.34
3.244,-12.65,15.14,3.77,20.08
3.260,-13.23,14.94,3.87,20.33
3.280,-13.23,15.23,3.58,20.49
3.301,-12.75,14.84,3.29,19.84
3.320,-13.04,14.94,3.58,20.15
3.340,-12.75,15.14,3.77,20.14
3.360,-13.23,14.94,3.68,20.29
3.380,-12.65,15.04,3.87,20.03
3.401,-12.94,15.04,3.68,20.18
3.421,-12.55,14.84,3.77,19.80
3.441,-12.65,14.94,3.77,19.94
3.461,-12.75,14.55,4.07,19.77
3.482,-12.94,14.94,3.87,20.14
3.502,-13.04,15.23,3.77,20.40
3.522,-13.04,15.33,3.68,20.46
3.542,-12.94,15.14,3.97,20.31
3.561,-12.94,15.04,4.07,20.25
3.582,-13.14,15.33,4.26,20.63
3.603,-12.84,15.04,3.68,20.11
3.622,-13.23,15.04,3.97,20.42
3.642,-13.04,15.43,3.87,20.57
3.662,-12.75,14.84,3.77,19.92
3.684,-12.75,14.94,4.16,20.07
3.703,-13.14,14.55,4.07,20.02
3.723,-12.84,14.84,3.58,19.95
3.743,-12.75,14.94,3.58,19.96
3.763,-12.84,14.74,3.87,19.93
3.783,-13.14,14.84,3.58,20.14
3.804,-12.84,14.84,3.87,20.01
3.824,-12.84,14.74,4.07,19.97
3.844,-13.14,14.84,3.48,20.12
3.866,-12.65,14.84,4.16,19.94
3.885,-12.75,14.84,3.38,19.85
3.906,-12.65,14.35,3.77,19.50
3.925,-12.94,14.45,3.38,19.69
3.947,-12.36,14.74,3.48,19.55
3.967,-12.84,14.84,3.58,19.95
3.985,-13.04,15.04,3.97,20.29
4.005,-12.75,14.55,4.16,19.79
4.025,-12.84,14.94,3.77,20.06
4.046,-12.75,15.04,4.36,20.19
4.066,-12.84,14.84,3.77,19.99
4.086,-12.94,15.04,3.87,20.21
4.107,-12.65,14.45,3.68,19.55
4.128,-12.94,14.45,3.77,19.76
4.147,-13.14,14.65,3.48,19.98
4.169,-12.94,14.65,3.77,19.91
4.188,-13.04,14.55,3.77,19.90
4.207,-13.04,14.74,3.68,20.02
4.229,-12.84,14.84,3.29,19.90
4.247,-12.75,15.04,3.38,20.00
4.268,-12.94,14.74,3.97,20.02
4.288,-12.94,14.84,3.97,20.09
4.308,-12.94,14.84,3.68,20.03
4.328,-13.23,15.04,3.77,20.38
4.348,-12.94,14.65,3.58,19.87
4.368,-12.94,14.65,3.29,19.82
4.389,-12.84,14.74,3.97,19.95
4.409,-12.55,14.65,3.77,19.65
4.429,-12.55,14.74,3.29,19.64
4.450,-12.75,14.74,3.87,19.87
4.469,-13.04,14.84,3.77,20.11
4.489,-12.65,14.74,3.48,19.74
4.509,-13.04,14.84,3.68,20.10
4.530,-12.55,15.04,4.26,20.04
4.550,-13.04,14.94,3.68,20.17
4.571,-12.84,14.55,3.97,19.81
4.589,-12.65,14.84,3.58,19.83
4.610,-12.55,14.74,4.16,19.81
4.631,-12.55,14.94,3.68,19.86
4.651,-12.84,14.84,3.68,19.97
4.671,-12.84,14.74,3.48,19.86
4.691,-12.55,14.84,3.58,19.76
4.711,-13.04,14.65,3.77,19.97
4.731,-12.65,14.65,4.07,19.77
4.756,-12.75,14.55,3.77,19.71
4.772,-12.84,15.14,3.87,20.22
4.791,-13.04,14.45,3.77,19.83
4.811,-12.55,14.94,3.77,19.87
4.830,-13.23,15.04,3.77,20.38
4.851,-13.04,15.04,3.87,20.28
4.871,-13.04,15.14,3.87,20.35
4.891,-12.94,15.23,3.77,20.34
4.911,-12.84,15.23,4.36,20.40
4.932,-12.94,14.84,3.77,20.05
4.952,-12.84,14.94,3.68,20.04
4.972,-12.84,15.04,3.77,20.13
4.995,-13.04,15.14,4.26,20.43
5.012,-13.04,15.04,4.07,20.31
5.032,-13.14,15.04,3.38,20.25
5.052,-13.14,14.94,3.77,20.25
5.072,-12.84,15.14,3.97,20.24
5.092,-12.84,14.84,3.68,19.97
5.113,-13.04,14.94,3.68,20.17
5.133,-12.84,14.94,3.77,20.06
5.154,-13.14,14.94,3.68,20.23
5.173,-13.23,15.14,3.77,20.46
5.193,-12.94,14.94,3.38,20.05
5.213,-12.45,15.43,3.58,20.15
5.233,-13.04,15.23,3.77,20.40
5.253,-13.23,15.14,3.87,20.47
5.274,-12.75,15.04,3.87,20.09
5.294,-13.04,14.94,3.87,20.20
5.314,-13.23,15.04,3.48,20.33
5.334,-13.23,15.14,3.87,20.47
5.354,-13.04,14.94,3.68,20.17
5.374,-13.14,15.23,3.97,20.50
5.395,-12.75,14.74,4.16,19.93
5.415,-13.14,14.94,3.58,20.21
5.446,-12.84,15.14,3.77,20.21
5.464,-12.55,15.04,3.68,19.93
5.476,-13.14,15.04,3.77,20.32
5.496,-12.65,14.84,3.87,19.88
5.516,-12.94,15.04,4.26,20.29
5.546,-12.84,14.94,3.87,20.08
5.563,-12.75,15.14,3.68,20.13
5.578,-13.04,14.74,3.58,20.01
5.597,-13.04,14.84,3.77,20.11
5.618,-12.55,14.94,3.87,19.89
5.639,-12.84,14.84,3.48,19.93
5.659,-12.75,14.84,3.68,19.91
5.681,-12.94,14.84,3.77,20.05
5.698,-12.84,14.94,3.97,20.10
5.718,-12.84,15.04,3.87,20.15
5.739,-12.84,15.14,3.87,20.22
5.759,-13.14,14.74,3.97,20.14
5.781,-12.94,14.84,3.48,20.00
5.800,-13.04,14.94,3.48,20.13
5.818,-13.14,14.74,4.26,20.20
5.839,-13.04,14.74,4.07,20.10
5.859,-12.84,15.04,4.07,20.19
5.881,-12.75,14.74,3.77,19.85
5.899,-13.04,14.65,4.07,20.03
5.918,-12.94,15.04,3.97,20.23
5.940,-12.84,15.14,3.77,20.21
5.960,-12.65,14.84,3.58,19.83
5.981,-13.14,14.84,3.97,20.21
6.000,-12.94,15.04,3.97,20.23
6.019,-13.33,14.94,4.07,20.43
6.041,-13.23,15.14,3.48,20.40
6.060,-12.75,14.94,4.07,20.05
6.079,-13.14,14.84,3.87,20.20
6.100,-13.04,15.33,3.58,20.44
6.120,-13.14,14.84,3.97,20.21
6.142,-13.14,14.84,3.68,20.16
6.161,-12.94,15.14,3.87,20.29
6.180,-13.23,15.33,3.68,20.58
6.200,-13.14,15.82,4.07,20.96
6.220,-13.53,15.04,3.77,20.58
6.243,-13.53,15.23,3.29,20.64
