Time,X,Y,Z,Norm
2.892,-1.22,-18.36,15.98,24.37
2.912,-0.93,-18.56,16.37,24.76
2.934,-1.52,-18.26,16.08,24.38
2.957,-1.12,-18.75,16.08,24.73
2.974,-1.22,-18.07,16.66,24.61
2.992,-0.93,-18.56,15.98,24.51
3.013,-1.12,-18.26,16.47,24.62
3.033,-0.93,-18.46,15.88,24.37
3.058,-0.83,-18.65,16.18,24.70
3.073,-1.22,-18.36,15.88,24.31
3.093,-0.83,-18.26,15.88,24.22
3.114,-0.93,-18.26,16.47,24.61
3.134,-0.73,-18.56,15.88,24.44
3.159,-1.03,-18.75,15.98,24.66
3.177,-1.03,-18.56,15.88,24.45
3.194,-0.93,-18.46,16.18,24.56
3.214,-1.03,-18.26,16.57,24.68
3.235,-1.03,-18.95,15.88,24.74
3.259,-1.03,-18.36,16.18,24.49
3.277,-1.12,-18.17,16.66,24.68
3.294,-1.22,-18.26,15.98,24.30
3.315,-0.93,-18.36,16.18,24.49
3.336,-0.93,-18.36,15.79,24.23
3.359,-0.83,-18.75,15.88,24.59
3.377,-0.73,-18.75,16.08,24.71
3.394,-1.42,-18.56,16.18,24.66
3.417,-0.93,-18.56,16.18,24.63
3.436,-1.03,-18.85,16.08,24.80
3.460,-0.83,-18.56,16.27,24.70
3.476,-0.93,-18.65,16.08,24.64
3.495,-1.12,-18.36,16.37,24.63
3.518,-1.03,-18.07,15.79,24.01
3.537,-1.42,-18.56,16.08,24.59
3.560,-0.73,-18.56,16.08,24.56
3.579,-0.73,-18.65,16.37,24.83
3.597,-1.32,-18.75,15.88,24.61
3.617,-0.64,-18.56,16.57,24.88
3.639,-1.03,-18.56,16.37,24.77
3.660,-1.22,-18.46,16.18,24.57
3.678,-1.12,-18.17,16.37,24.48
3.698,-1.22,-18.26,16.47,24.62
3.718,-1.03,-18.85,16.08,24.80
3.739,-0.73,-18.56,16.27,24.69
3.760,-1.12,-18.85,15.88,24.67
3.779,-0.93,-18.85,16.08,24.79
3.798,-1.12,-18.46,15.98,24.44
3.820,-1.32,-18.56,16.47,24.85
3.840,-1.22,-18.56,16.08,24.58
3.860,-0.83,-18.56,15.98,24.50
3.879,-1.03,-18.85,16.27,24.92
3.900,-0.83,-18.75,16.27,24.84
3.921,-0.83,-18.56,16.66,24.95
3.940,-0.93,-18.65,16.27,24.77
3.960,-1.12,-18.65,15.79,24.46
3.980,-1.12,-18.56,16.18,24.64
3.999,-0.93,-18.56,15.79,24.38
4.019,-0.93,-18.56,16.18,24.63
4.041,-0.83,-18.85,15.98,24.73
4.061,-1.03,-19.04,16.37,25.13
4.079,-0.93,-19.24,15.88,24.97
4.102,-0.73,-19.04,16.08,24.93
4.121,-0.83,-18.46,15.98,24.43
4.143,-1.03,-18.36,15.98,24.36
4.161,-1.03,-18.75,16.37,24.91
4.181,-1.22,-18.56,15.98,24.52
4.202,-1.22,-18.75,16.18,24.79
4.220,-1.22,-18.85,16.08,24.81
4.242,-1.03,-18.46,15.98,24.44
4.261,-0.83,-18.46,16.08,24.49
4.281,-1.22,-18.36,15.79,24.24
