Date,Longitude,Latitude
10/12/2020 22:17:08,-46.6515625,-23.571205
10/12/2020 22:17:24,-46.6515679,-23.5711867
10/12/2020 22:17:33,-46.6515623,-23.5711865
10/12/2020 22:17:43,-46.6515713,-23.5711913
10/12/2020 22:17:53,-46.6515733,-23.5711965
10/12/2020 22:18:03,-46.651572,-23.5711932
10/12/2020 22:18:14,-46.6515654,-23.5712021
10/12/2020 22:18:24,-46.6515687,-23.5711888
10/12/2020 22:18:33,-46.6515684,-23.5711885
10/12/2020 22:18:43,-46.651567,-23.5711908
10/12/2020 22:19:47,-46.6515657,-23.5711877
10/12/2020 22:19:57,-46.6515642,-23.5711938
10/12/2020 22:20:07,-46.6515688,-23.5711922
10/12/2020 22:20:17,-46.6515685,-23.5711975
10/12/2020 22:20:27,-46.6515579,-23.571197
10/12/2020 22:20:37,-46.6515651,-23.5711983
10/12/2020 22:20:47,-46.6515639,-23.5712027
10/12/2020 22:20:57,-46.6515635,-23.5711914
10/12/2020 22:21:07,-46.6515626,-23.5711868
10/12/2020 22:21:17,-46.6515574,-23.5711893
10/12/2020 22:24:51,-46.6515697,-23.5711972
10/12/2020 22:25:00,-46.6515638,-23.5711897
10/12/2020 22:25:10,-46.6515695,-23.5712052
10/12/2020 22:25:20,-46.651567,-23.5711903
10/12/2020 22:25:30,-46.6515667,-23.5711922
10/12/2020 22:25:40,-46.6515709,-23.5711918
10/12/2020 22:25:50,-46.6515704,-23.571199
10/12/2020 22:26:00,-46.6515662,-23.5712
10/12/2020 22:26:10,-46.651565,-23.5711986
10/12/2020 22:26:20,-46.6515643,-23.5711977
10/12/2020 22:28:19,-46.6515592,-23.5712253
10/12/2020 22:28:29,-46.6515649,-23.5712035
10/12/2020 22:28:39,-46.6515672,-23.5712002
10/12/2020 22:28:50,-46.6515583,-23.5711849
10/12/2020 22:28:59,-46.6515583,-23.5711843
10/12/2020 22:29:09,-46.6515641,-23.5711884
10/12/2020 22:29:19,-46.6515598,-23.5712053
10/12/2020 22:29:29,-46.6515556,-23.571203
10/12/2020 22:29:39,-46.6515669,-23.571199
10/12/2020 22:29:49,-46.6515687,-23.5711996
10/12/2020 22:33:26,-46.6515656,-23.5711995
10/12/2020 22:33:36,-46.651567,-23.57119
10/12/2020 22:33:46,-46.6515681,-23.5711947
10/12/2020 22:33:56,-46.6515581,-23.5712059
10/12/2020 22:34:06,-46.6515633,-23.5712024
10/12/2020 22:34:16,-46.6515644,-23.5712015
10/12/2020 22:34:26,-46.6515579,-23.5712093
10/12/2020 22:34:36,-46.6515532,-23.5712129
10/12/2020 22:34:46,-46.6515567,-23.5712108
10/12/2020 22:34:56,-46.651568,-23.571205
10/12/2020 22:35:06,-46.6515639,-23.5712103
10/12/2020 22:35:16,-46.651565,-23.5712008
10/12/2020 22:35:26,-46.6515608,-23.5712021
10/12/2020 22:35:36,-46.6515682,-23.5711986
10/12/2020 22:35:46,-46.6515649,-23.5712033
10/12/2020 22:35:56,-46.6515614,-23.5712017
10/12/2020 22:36:06,-46.651564,-23.5712054
10/12/2020 22:36:16,-46.6515617,-23.5712002
10/12/2020 22:36:26,-46.6515639,-23.5712009
10/12/2020 22:36:36,-46.6515562,-23.5712077
10/12/2020 23:20:33,-46.6515673,-23.5711913
10/12/2020 23:21:06,-46.6515705,-23.5711998
10/12/2020 23:21:16,-46.6515708,-23.5711988
10/12/2020 23:21:26,-46.6515627,-23.5712006
10/12/2020 23:21:36,-46.6515653,-23.5711943
10/12/2020 23:27:00,-46.6515685,-23.5711923
10/12/2020 23:27:10,-46.6515672,-23.5712098
10/12/2020 23:27:20,-46.6515587,-23.5712075
10/12/2020 23:27:30,-46.6515679,-23.5711897
10/12/2020 23:27:40,-46.6515663,-23.5711953
10/12/2020 23:27:50,-46.6515666,-23.5711876
10/12/2020 23:28:00,-46.65157,-23.5711911
10/12/2020 23:28:10,-46.6515702,-23.5711927
10/12/2020 23:28:20,-46.6515704,-23.5711944
10/12/2020 23:28:30,-46.6515721,-23.5711915
10/12/2020 23:28:40,-46.6515672,-23.5711969
10/12/2020 23:28:50,-46.6515633,-23.5712023
10/12/2020 23:29:00,-46.6515733,-23.5711936
10/12/2020 23:29:10,-46.6515732,-23.5711957
10/12/2020 23:29:20,-46.6515732,-23.5711986
10/12/2020 23:29:30,-46.6515717,-23.571196
10/12/2020 23:29:40,-46.651568,-23.5712007
10/12/2020 23:29:50,-46.6515661,-23.5712007
10/12/2020 23:30:00,-46.6515643,-23.5712017
10/12/2020 23:30:10,-46.6515619,-23.5712059
10/12/2020 23:30:20,-46.6515669,-23.5712045
10/12/2020 23:30:30,-46.6515678,-23.5711899
10/12/2020 23:30:40,-46.6515684,-23.5711967
10/12/2020 23:30:50,-46.6515701,-23.5711932
10/12/2020 23:31:00,-46.6515696,-23.5711925
10/12/2020 23:31:10,-46.6515724,-23.5711887
10/12/2020 23:31:20,-46.6515691,-23.5711891
10/12/2020 23:31:30,-46.6515644,-23.5711822
10/12/2020 23:31:40,-46.6515711,-23.571183
10/12/2020 23:31:50,-46.6515658,-23.5711897
10/12/2020 23:32:00,-46.6515679,-23.5711878
10/12/2020 23:32:10,-46.6515707,-23.5711861
10/12/2020 23:32:20,-46.6515661,-23.5711921
10/12/2020 23:32:30,-46.6515698,-23.5712033
10/12/2020 23:32:40,-46.6515813,-23.571184
10/12/2020 23:32:50,-46.651576,-23.5711901
10/12/2020 23:33:32,-46.6515724,-23.5711842
10/12/2020 23:33:42,-46.6515719,-23.5711839
10/12/2020 23:33:52,-46.6515574,-23.5712094
10/12/2020 23:34:01,-46.6515678,-23.5711889
10/12/2020 23:34:11,-46.6515696,-23.5711869
10/12/2020 23:34:22,-46.6515677,-23.5711895
10/12/2020 23:34:31,-46.6515709,-23.5711875
10/12/2020 23:34:42,-46.6515733,-23.5711826
10/12/2020 23:34:52,-46.6515646,-23.5712101
10/12/2020 23:35:02,-46.6515709,-23.5712045
10/12/2020 23:35:12,-46.6515725,-23.5711884
10/12/2020 23:35:22,-46.651574,-23.5711989
10/12/2020 23:35:31,-46.6515714,-23.5711955
10/12/2020 23:35:42,-46.6515713,-23.5711908
10/12/2020 23:35:52,-46.6515647,-23.5711898
10/12/2020 23:36:06,-46.6515644,-23.5711907
10/12/2020 23:36:22,-46.6515618,-23.5711919
10/12/2020 23:36:31,-46.6515627,-23.5711918
10/12/2020 23:36:42,-46.6515722,-23.5712022
10/12/2020 23:36:52,-46.6515753,-23.5711918
10/12/2020 23:37:02,-46.6515772,-23.5711916
10/12/2020 23:37:12,-46.6515742,-23.5711909
10/12/2020 23:37:22,-46.6515718,-23.5712083
10/12/2020 23:37:32,-46.6515666,-23.5712138
10/12/2020 23:37:42,-46.6515733,-23.5711923
10/12/2020 23:37:52,-46.6515723,-23.571193
10/12/2020 23:38:02,-46.6515652,-23.5711897
10/12/2020 23:38:12,-46.6515672,-23.57119
10/12/2020 23:38:22,-46.651561,-23.5711926
10/12/2020 23:38:32,-46.6515625,-23.5711902
10/12/2020 23:38:42,-46.6515666,-23.5711908
10/12/2020 23:38:52,-46.6515576,-23.5711955
10/12/2020 23:39:02,-46.6515649,-23.5711895
10/12/2020 23:39:12,-46.6515687,-23.5711903
10/12/2020 23:39:22,-46.6515626,-23.5711889
10/12/2020 23:39:32,-46.6515746,-23.5711915
10/12/2020 23:39:42,-46.6515776,-23.5711856
10/12/2020 23:39:52,-46.6515775,-23.5711926
10/12/2020 23:40:02,-46.6515779,-23.5711905
10/12/2020 23:40:12,-46.6515764,-23.5711933
10/12/2020 23:40:22,-46.651575,-23.5711976
10/12/2020 23:40:32,-46.6515685,-23.5711904
10/12/2020 23:40:42,-46.6515709,-23.5711949
10/12/2020 23:40:52,-46.6515726,-23.571191
10/12/2020 23:41:02,-46.6515747,-23.5711932
10/12/2020 23:41:12,-46.6515702,-23.5712078
10/12/2020 23:41:22,-46.6515716,-23.5711995
10/12/2020 23:41:32,-46.6515723,-23.5711973
10/12/2020 23:41:42,-46.6515694,-23.5711931
10/12/2020 23:41:52,-46.6515704,-23.5712025
10/12/2020 23:42:02,-46.6515689,-23.571206
10/12/2020 23:42:12,-46.6515671,-23.5712051
10/12/2020 23:42:22,-46.6515626,-23.5712079
10/12/2020 23:42:32,-46.6515564,-23.5712055
10/12/2020 23:42:42,-46.6515625,-23.5712129
10/12/2020 23:42:52,-46.6515684,-23.571207
10/12/2020 23:43:02,-46.6515695,-23.5712085
10/12/2020 23:43:12,-46.6515693,-23.5712066
10/12/2020 23:43:22,-46.6515684,-23.5712089
10/12/2020 23:43:32,-46.6515651,-23.5712011
10/12/2020 23:43:42,-46.6515742,-23.5712044
10/12/2020 23:43:52,-46.651572,-23.5712114
10/12/2020 23:44:02,-46.6515702,-23.5712116
10/12/2020 23:44:12,-46.6515647,-23.5712175
10/12/2020 23:44:22,-46.6515666,-23.5712141
10/12/2020 23:44:32,-46.651566,-23.5712052
10/12/2020 23:44:42,-46.6515668,-23.5712069
10/12/2020 23:44:52,-46.6515691,-23.571197
10/12/2020 23:45:02,-46.6515634,-23.5711967
10/12/2020 23:45:12,-46.6515642,-23.5712009
10/12/2020 23:45:22,-46.6515674,-23.5712001
10/12/2020 23:45:32,-46.6515659,-23.5712044
10/12/2020 23:45:42,-46.6515645,-23.5712189
10/12/2020 23:45:52,-46.6515739,-23.5712026
10/12/2020 23:46:02,-46.6515709,-23.571215
10/12/2020 23:46:12,-46.6515748,-23.5712029
10/12/2020 23:46:22,-46.6515718,-23.5711936
10/12/2020 23:46:32,-46.6515645,-23.5712066
10/12/2020 23:46:42,-46.6515606,-23.5711894
10/12/2020 23:46:52,-46.6515586,-23.5711925
10/12/2020 23:47:02,-46.6515605,-23.5711885
10/12/2020 23:47:12,-46.6515613,-23.5711864
10/12/2020 23:47:22,-46.6515607,-23.5711844
10/12/2020 23:47:32,-46.6515585,-23.571187
10/12/2020 23:47:42,-46.6515709,-23.571203
10/12/2020 23:47:52,-46.6515723,-23.5712024
10/12/2020 23:48:02,-46.6515738,-23.5712023
10/12/2020 23:48:12,-46.6515772,-23.5712081
10/12/2020 23:48:22,-46.6515759,-23.5712084
10/12/2020 23:48:32,-46.6515717,-23.5712112
